theta_deg,a,ff_plus,ff_cross,mismatch_plus,mismatch_cross,snr_ratio_plus,snr_ratio_cross,required_snr_plus,required_snr_cross,rho_dir_plus,rho_dir_cross,rho_obs_plus,rho_obs_cross,optimized,theta_mode
59.5,0.99,0.9852804864238174,0.9786415617621423,0.014719513576182619,0.021358438237857658,1.0152310867683996,1.0222796527366624,26.161180163845874,21.75437885629313,77.35856759034695,62.44050720269535,78.53682264559463,63.831660019872466,True,anchor
59.5,0.999,0.9852548905392167,0.9786007992470316,0.014745109460783334,0.021399200752968417,1.0151954379496102,1.0222421014284944,26.138632339877972,21.733873313578147,77.35856759034695,62.44050720269535,78.5340649040368,63.82931529714433,True,anchor
66.875,-0.99,0.9354178794246446,0.8756446427687749,0.0645821205753554,0.12435535723122515,1.0655341886482936,1.1374500571179649,12.64944505327637,9.259924967509544,71.00108395102522,48.317109355235594,75.65408238090504,54.95829879588768,True,anchor
66.875,0.0,0.9339426263911862,0.8734232071963165,0.06605737360881381,0.1265767928036835,1.0671877753523582,1.14028076616255,12.512167615655644,9.183749014830845,71.00108395102522,48.317109355235594,75.77148882930064,55.09507047434776,True,anchor
66.875,0.8,0.9319264106332031,0.8703810532257015,0.06807358936679686,0.12961894677429853,1.069575019630291,1.1443453258205138,12.331911028416878,9.08271540741321,71.00108395102522,48.317109355235594,75.94098576068973,55.291458247822476,True,anchor
66.875,0.99,0.9311275187222685,0.8690953639578394,0.06887248127773149,0.13090463604216063,1.070668985591278,1.1463812146356902,12.26271561645388,9.041110015355926,71.00108395102522,48.317109355235594,76.01865852972536,55.389826510340455,True,anchor
66.875,0.999,0.931099120343204,0.869040587499254,0.06890087965679603,0.13095941250074605,1.070679086932511,1.1464279383969742,12.260278386114642,9.039351459206285,71.00108395102522,48.317109355235594,76.01937573590224,55.3920840674239,True,anchor
74.25,-0.99,0.8419778931763945,0.6728979499801973,0.1580221068236055,0.32710205001980275,1.1798435147137485,1.5978272630834247,8.289223836047032,6.045589297423329,66.04537068994345,33.39428228840171,77.92320228539528,53.35829467151219,True,anchor
74.25,0.0,0.8415009637413562,0.6813783634299861,0.1584990362586438,0.31862163657001386,1.1820837922592111,1.6013624772872475,8.277814875868959,6.110048233008104,66.04537068994345,33.39428228840171,78.07116224633371,53.47635061258462,True,anchor
74.25,0.8,0.8400023715788808,0.683345343807047,0.1599976284211192,0.31665465619295297,1.1834952172748605,1.6041941111919977,8.242311691239102,6.125414011165011,66.04537068994345,33.39428228840171,78.16438033469333,53.57091099453726,True,anchor
74.25,0.99,0.839433041679042,0.6826466908795245,0.16056695832095802,0.31735330912047555,1.1839987971708994,1.605679941486704,8.228959329499743,6.119937886727829,66.04537068994345,33.39428228840171,78.19763945559923,53.62052923083134,True,anchor
74.25,0.999,0.839451979498251,0.6826634227454103,0.160548020501749,0.31733657725458975,1.1840297374630766,1.6057490979364257,8.229402285656343,6.120068796078439,66.04537068994345,33.39428228840171,78.19968291866532,53.622838660835406,True,anchor
81.625,-0.99,0.7669648289658154,0.7314371667194869,0.23303517103418459,0.2685628332805131,1.354516026072565,3.359638052169703,6.969318448908752,6.5582606769158796,62.818049562162976,17.918931169992227,85.08805485857043,60.201123012915666,True,anchor
81.625,0.0,0.7690546601733143,0.8079310818868463,0.23094533982668575,0.19206891811315374,1.353510180148604,3.3517661769431686,6.996643893257347,7.589191597148364,62.818049562162976,17.918931169992227,85.02486957946715,60.06006742255263,True,anchor
81.625,0.8,0.7695415808332159,0.8029963443947984,0.2304584191667841,0.1970036556052016,1.3538846012680832,3.346422016064165,7.0030676630834945,7.503785866976552,62.818049562162976,17.918931169992227,85.04838998390771,59.9643057716004,True,anchor
